id,att
452,"beer,taste,light,bottle,alcohol"
453,"taste,beer,color,citrus,medium"
454,"beer,taste,flavor,chocolate,coffee"
455,"beer,flavor,color,taste,malty"
458,"beer,taste,aroma,malt,bit"
459,"beer,taste,flavor,chocolate,coffee"
460,"beer,taste,light,bottle,alcohol"
461,"beer,flavor,color,taste,malty"
462,"beer,taste,light,bottle,alcohol"
464,"beer,flavor,taste,aroma,color"
465,"beer,taste,light,bottle,alcohol"
466,"beer,taste,light,bottle,alcohol"
467,"beer,flavor,taste,aroma,color"
468,"beer,taste,aroma,malt,bit"
469,"beer,taste,flavor,chocolate,coffee"
471,"beer,flavor,taste,aroma,color"
472,"beer,flavor,taste,aroma,color"
474,"beer,taste,light,bottle,alcohol"
476,"beer,taste,flavor,chocolate,coffee"
478,"beer,flavor,taste,aroma,color"
480,"beer,flavor,taste,aroma,color"
481,"orange,aroma,fruity,taste,beer"
483,"taste,beer,aroma,bottle,medium"
484,"beer,flavor,taste,aroma,color"
485,"beer,taste,light,bottle,alcohol"
486,"beer,taste,aroma,malt,bit"
487,"beer,flavor,taste,aroma,color"
488,"beer,flavor,taste,aroma,color"
489,"beer,taste,light,bottle,alcohol"
490,"beer,taste,light,bottle,alcohol"
491,"beer,taste,aroma,malt,bit"
492,"beer,taste,flavor,chocolate,coffee"
494,"bottle,flavor,caramel,beer,taste"
495,"taste,beer,aroma,bottle,medium"
497,"beer,flavor,color,taste,malty"
498,"beer,flavor,color,taste,malty"
499,"beer,flavor,color,taste,malty"
500,"beer,flavor,color,taste,malty"
501,"beer,flavor,color,taste,malty"
502,"hop,medium,malt,flavor,chocolate"
505,"beer,flavor,color,taste,malty"
506,"beer,flavor,color,taste,malty"
507,"beer,taste,aroma,malt,bit"
508,"beer,taste,light,bottle,alcohol"
510,"beer,taste,light,bottle,alcohol"
512,"beer,taste,flavor,chocolate,coffee"
513,"beer,flavor,color,taste,malty"
514,"beer,taste,flavor,chocolate,coffee"
515,"beer,taste,light,bottle,alcohol"
516,"taste,beer,aroma,bottle,medium"
517,"beer,taste,aroma,malt,bit"
518,"beer,flavor,color,taste,malty"
520,"beer,taste,flavor,chocolate,coffee"
522,"beer,taste,flavor,chocolate,coffee"
523,"beer,taste,flavor,chocolate,coffee"
525,"beer,taste,flavor,chocolate,coffee"
526,"orange,aroma,fruity,taste,beer"
527,"taste,beer,aroma,bottle,medium"
528,"beer,flavor,color,taste,malty"
529,"beer,flavor,taste,aroma,color"
531,"taste,beer,color,citrus,medium"
532,"beer,flavor,taste,aroma,color"
535,"beer,taste,light,bottle,alcohol"
537,"beer,taste,light,bottle,alcohol"
538,"beer,taste,light,bottle,alcohol"
539,"beer,taste,light,bottle,alcohol"
541,"beer,flavor,taste,aroma,color"
542,"beer,taste,light,bottle,alcohol"
543,"beer,taste,flavor,chocolate,coffee"
544,"beer,taste,light,bottle,alcohol"
546,"orange,aroma,fruity,taste,beer"
549,"beer,taste,flavor,chocolate,coffee"
550,"beer,flavor,taste,aroma,color"
552,"beer,taste,light,bottle,alcohol"
553,"beer,flavor,color,taste,malty"
554,"orange,aroma,fruity,taste,beer"
555,"beer,taste,light,bottle,alcohol"
556,"beer,flavor,taste,aroma,color"
557,"beer,taste,light,bottle,alcohol"
558,"beer,flavor,color,taste,malty"
559,"beer,taste,light,bottle,alcohol"
560,"bottle,flavor,caramel,beer,taste"
562,"beer,taste,flavor,chocolate,coffee"
565,"hop,medium,malt,flavor,chocolate"
566,"beer,taste,light,bottle,alcohol"
567,"beer,flavor,color,taste,malty"
568,"beer,taste,light,bottle,alcohol"
569,"beer,taste,light,bottle,alcohol"
571,"beer,flavor,color,taste,malty"
572,"beer,flavor,color,taste,malty"
573,"beer,taste,aroma,malt,bit"
574,"bottle,flavor,caramel,beer,taste"
575,"beer,flavor,taste,aroma,color"
577,"beer,flavor,taste,aroma,color"
578,"beer,flavor,color,taste,malty"
579,"beer,taste,light,bottle,alcohol"
581,"orange,aroma,fruity,taste,beer"
583,"beer,taste,flavor,chocolate,coffee"
